volume,name,coordinates/0,coordinates/1,company_id
6000,Styro Recycle,-122.25,47.4008,269
33330,1994,-104.935,39.7036,645
6000,"MCC Recycling Services, LLC",-74.8224,40.1306,21
6000,Bluewater Project Inc,-122.789,49.2737,684
3600,Faith technologies,-70.3037,43.6075,174
3000,nb_paper_seller_admin,-118.444,33.9885,20
3000,Merq Demo Seller Company,-118.26,34.0367,394
3000,Loop Recycling,-87.663,41.8481,197
3000,nb_paper_seller_admin,-117.898,33.9834,20
3000,prod-seller-03132019,-118.26,34.0367,685
1800,Santa Fe Solid Waste Management Agency,-117.913,33.8353,490
1800,1976,-75.646,40.248,482
1800,Kaskade Recycling IIC,-73.5501,41.0383,366
1500,City of Santa Cruz Resource Recovery Facility,-122.105,36.9728,388
1500,papercut,-117.836,33.9975,277
1500,"Rack Enterprises, LLC",-74.9949,40.0144,8
1500,Waste Management - Chicago,-87.7064,41.8062,503
1500,Metro Metals Recycling Inc.,-118.4,34.2518,487
1500,Bakersfield ARC,-119.002,35.3222,486
1500,Mrs. Nelsons Library Services,-117.781,34.0633,268
1500,GLOBAL PAPER RECYCLING,-117.919,33.8498,365
1500,Loop Recycling,-84.0126,33.6484,197
1500,Grenelefe Recyclers,-73.6554,40.6245,613
1380,Afvalzaken,-87.6355,41.8815,565
1380,Area Recycling,-89.6663,40.5284,640
1200,Ascent Recycling,-98.5314,29.4601,298
1200,Ascent Recycling,-118.392,33.901,298
900,Innovative Waste Systems,-91.2118,30.5779,369
900,RK Paper ,-81.4633,28.6313,372
900,ecomaine,-70.3341,43.6533,459
900,Royal Envelope Corp,-87.6493,41.8195,371
900,GJK Enterprises,-111.914,40.5569,393
900,GQIC Recycling ,-118.143,34.0402,384
864,MGM CARTING LLC,-118.26,34.0367,563
864,MGM CARTING LLC,-74.1454,39.9906,563
810,mQb Seller Test,-118.304,33.8719,450
810,West Coast Recycling,-118.12,33.9767,492
810,Jefferson County Recycling,-75.9502,44.0573,445
810,Merqbiz,-117.967,33.8912,457
780,California Recyclers. Inc. ,-117.523,34.0561,501
780,Western Pacific Pulp and Paper ,-118.118,33.9294,195
780,Southern Recycling LLC,-86.4432,36.9991,205
780,Southern Recycling LLC,-87.0822,37.7705,205
780,Southern Recycling LLC,-97.7454,30.2702,205
750,Guidance Solutions,-116.997,32.6169,9
750,US Green Fiber,-74.1522,42.9784,458
750,Webbers corporation,-106.591,35.1719,453
750,saramerq,-118.375,34.0257,452
750,US Green Fiber,-75.7959,41.2947,458
750,Menasha Packaging Company,-88.4915,44.1455,449
720,Baziley,-73.9258,40.6235,580
720,ASC,-84.014,34.099,653
720,Bristol Paper Recycling LLC,-71.0499,42.3831,559
675,The Astor Company,-87.6349,41.8811,691
666,Powers Paper,-122.689,45.6367,636
639,Specialty Coating and Laminating,-77.46,37.8639,614
600,United States Gypsum Company,-87.6417,41.8795,230
600,Santa Fe Solid Waste Management Agency,-106.088,35.6767,490
600,Echo Fibers,-117.836,33.9975,301
600,merq-prod-seller-0920-01,-118.26,34.0367,516
600,Olive Street Processing ,-76.9314,38.9119,578
600,ECO RECYCLING LLC,-80.2575,25.8477,460
600,Core States Processing,-75.7057,41.4077,70
600,Going Green Recycle,-118.07,33.8084,278
600,Andrea Gacs,-118.346,34.0758,434
600,Going Green Recycle,-122.242,47.2064,278
576,Demo Seller 1026,-118.401,33.9168,549
540,Orlando Waste Paper Company,-81.4096,28.5756,209
480,Chick-fil-A Vernon Hills,-96.4418,32.7391,160
450,"GPB Waste NY, LLC",-74.1147,40.8008,561
432,Stephenshare.com,-118.26,34.0367,536
420,"Buckeye Processing & MRF, LLC",-120.697,35.6964,148
405,Northstar Pulp & Paper Co. Inc.,-72.5577,42.1355,654
405,Cedric Cunningham ,-80.2402,25.9408,667
405,Merqbiz,-118.392,33.901,457
405,neurology,-80.2058,26.1204,531
